x,y
160,330.2
337,835.22
223,489.58
198,489.08
83,185.18
363,787.98
230,595.4
69,164.54
252,588.12
172,425.32
338,910.48
184,466.44
156,438.16
45,120.3
60,186.2
271,720.06
277,691.62
44,102.04
113,231.98
199,507.34
298,653.08
395,993.3
59,159.94
18,27.28
217,536.02
22,-7.68
301,888.86
319,754.54
311,857.46
297,599.82
388,921.48
4,65.64
12,70.72
218,527.28
43,99.78
157,294.42
48,151.08
268,623.28
225,606.1
209,571.94
299,794.34
142,422.52
393,1103.78
27,2.62
374,871.84
150,409.6
119,331.54
396,977.56
246,579.56
318,672.28
17,-37.98
192,609.52
379,854.14
165,410.5
219,491.54
141,378.26
365,864.5
23,130.58
128,298.88
189,427.74
36,251.96
86,301.96
350,856.6
176,449.36
221,444.06
245,561.3
136,283.96
30,217.4
148,314.08
125,316.1
303,719.38
240,703.0
186,436.96
92,270.52
78,267.88
216,606.76
286,767.96
287,690.22
103,325.38
143,355.78
340,857.0
262,629.72
358,849.68
315,819.5
292,699.52
275,616.1
159,434.94
322,635.32
24,88.84
158,384.68
183,458.18
206,502.16
